image,filename,actual_emotion,reason,face_detected,blur_variance,brightness,face_fraction
test_dataset\sad\im125.png,im125.png,sad,no_face_detected (Face could not be detected in numpy array.Please confirm that the picture is a face photo or consider to set enforce_detection param to False.),False,0.0,0.0,0.0
test_dataset\sad\im14.png,im14.png,sad,no_face_detected (Face could not be detected in numpy array.Please confirm that the picture is a face photo or consider to set enforce_detection param to False.),False,0.0,0.0,0.0
test_dataset\sad\im30.png,im30.png,sad,no_face_detected (Face could not be detected in numpy array.Please confirm that the picture is a face photo or consider to set enforce_detection param to False.),False,0.0,0.0,0.0
test_dataset\sad\im31.png,im31.png,sad,no_face_detected (Face could not be detected in numpy array.Please confirm that the picture is a face photo or consider to set enforce_detection param to False.),False,0.0,0.0,0.0
test_dataset\sad\im50.png,im50.png,sad,no_face_detected (Face could not be detected in numpy array.Please confirm that the picture is a face photo or consider to set enforce_detection param to False.),False,0.0,0.0,0.0
test_dataset\sad\im52.png,im52.png,sad,no_face_detected (Face could not be detected in numpy array.Please confirm that the picture is a face photo or consider to set enforce_detection param to False.),False,0.0,0.0,0.0
test_dataset\sad\im68.png,im68.png,sad,no_face_detected (Face could not be detected in numpy array.Please confirm that the picture is a face photo or consider to set enforce_detection param to False.),False,0.0,0.0,0.0
test_dataset\sad\im69.png,im69.png,sad,no_face_detected (Face could not be detected in numpy array.Please confirm that the picture is a face photo or consider to set enforce_detection param to False.),False,0.0,0.0,0.0
test_dataset\sad\im71.png,im71.png,sad,no_face_detected (Face could not be detected in numpy array.Please confirm that the picture is a face photo or consider to set enforce_detection param to False.),False,0.0,0.0,0.0
test_dataset\sad\im72.png,im72.png,sad,no_face_detected (Face could not be detected in numpy array.Please confirm that the picture is a face photo or consider to set enforce_detection param to False.),False,0.0,0.0,0.0
test_dataset\sad\im73.png,im73.png,sad,no_face_detected (Face could not be detected in numpy array.Please confirm that the picture is a face photo or consider to set enforce_detection param to False.),False,0.0,0.0,0.0
test_dataset\sad\im77.png,im77.png,sad,no_face_detected (Face could not be detected in numpy array.Please confirm that the picture is a face photo or consider to set enforce_detection param to False.),False,0.0,0.0,0.0
test_dataset\sad\im78.png,im78.png,sad,no_face_detected (Face could not be detected in numpy array.Please confirm that the picture is a face photo or consider to set enforce_detection param to False.),False,0.0,0.0,0.0
test_dataset\sad\im79.png,im79.png,sad,no_face_detected (Face could not be detected in numpy array.Please confirm that the picture is a face photo or consider to set enforce_detection param to False.),False,0.0,0.0,0.0
test_dataset\sad\im80.png,im80.png,sad,no_face_detected (Face could not be detected in numpy array.Please confirm that the picture is a face photo or consider to set enforce_detection param to False.),False,0.0,0.0,0.0
test_dataset\sad\im83.png,im83.png,sad,no_face_detected (Face could not be detected in numpy array.Please confirm that the picture is a face photo or consider to set enforce_detection param to False.),False,0.0,0.0,0.0
test_dataset\sad\im84.png,im84.png,sad,no_face_detected (Face could not be detected in numpy array.Please confirm that the picture is a face photo or consider to set enforce_detection param to False.),False,0.0,0.0,0.0
test_dataset\sad\im85.png,im85.png,sad,no_face_detected (Face could not be detected in numpy array.Please confirm that the picture is a face photo or consider to set enforce_detection param to False.),False,0.0,0.0,0.0
test_dataset\sad\im86.png,im86.png,sad,no_face_detected (Face could not be detected in numpy array.Please confirm that the picture is a face photo or consider to set enforce_detection param to False.),False,0.0,0.0,0.0
test_dataset\sad\im87.png,im87.png,sad,no_face_detected (Face could not be detected in numpy array.Please confirm that the picture is a face photo or consider to set enforce_detection param to False.),False,0.0,0.0,0.0
test_dataset\sad\im93.png,im93.png,sad,no_face_detected (Face could not be detected in numpy array.Please confirm that the picture is a face photo or consider to set enforce_detection param to False.),False,0.0,0.0,0.0
test_dataset\sad\im94.png,im94.png,sad,no_face_detected (Face could not be detected in numpy array.Please confirm that the picture is a face photo or consider to set enforce_detection param to False.),False,0.0,0.0,0.0
test_dataset\sad\im97.png,im97.png,sad,no_face_detected (Face could not be detected in numpy array.Please confirm that the picture is a face photo or consider to set enforce_detection param to False.),False,0.0,0.0,0.0
test_dataset\sad\im98.png,im98.png,sad,no_face_detected (Face could not be detected in numpy array.Please confirm that the picture is a face photo or consider to set enforce_detection param to False.),False,0.0,0.0,0.0
test_dataset\sad\im99.png,im99.png,sad,no_face_detected (Face could not be detected in numpy array.Please confirm that the picture is a face photo or consider to set enforce_detection param to False.),False,0.0,0.0,0.0
